dir_rel,file_count,total_size_bytes,total_size_mb
tools/codex/worktrees/D_validation/docs/factory,28,41706,0.04
tools/codex/worktrees/Z_aggregator/docs/factory,28,41706,0.04
artifacts/keystone-pitch-engine/programs/hitech-pitch/20260304_081458_TNLR,1,41684,0.04
tools/codex/worktrees/C_features/tools/scripts,11,40817,0.04
tools/codex/worktrees/D_validation/tools/scripts,11,40817,0.04
tools/codex/worktrees/Z_aggregator/tools/scripts,11,40817,0.04
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/scripts,11,40817,0.04
tools/codex/worktrees/B_tooling/tools/scripts,11,40790,0.04
tools/codex/runs/{{RUN_ID}}/UNICODEX/FILES/docs/ui-map/screens,6,40588,0.04
apps/keystone/components/pitch/visuals,8,40549,0.04
apps/keystone/app/dev/scene-studio/window-manager,9,40212,0.04
packages/ui-kit/src/layers,7,40171,0.04
tools/codex/prompt_zips,6,38483,0.04
tools/codex/_triage/snapshots/SNAP_20260226_1/meta/BEFORE,8,38143,0.04
tools/codex/worktrees/A_core/tools/meta,12,37931,0.04
tools/codex/worktrees/B_tooling/tools/meta,12,37931,0.04
tools/codex/worktrees/C_features/tools/meta,12,37931,0.04
tools/codex/worktrees/D_validation/tools/meta,12,37931,0.04
tools/codex/worktrees/Z_aggregator/tools/meta,12,37931,0.04
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/meta,12,37931,0.04
tools/meta,12,37931,0.04
tools/codex/Z_aggregator/RUN_20260226_180543/FILES/tools/meta,12,37922,0.04
tools/codex/Z_aggregator/RUN_20260226_180629/FILES/tools/meta,12,37922,0.04
tools/codex/Z_aggregator/RUN_20260226_180800/FILES/tools/meta,12,37911,0.04
tools/codex/worktrees/A_core/tools/scripts/lib,4,37273,0.04
tools/codex/worktrees/B_tooling/tools/scripts/lib,4,37273,0.04
tools/codex/worktrees/C_features/tools/scripts/lib,4,37273,0.04
tools/codex/worktrees/D_validation/tools/scripts/lib,4,37273,0.04
tools/codex/worktrees/Z_aggregator/tools/scripts/lib,4,37273,0.04
tools/codex/_triage/snapshots/SNAP_20260226_1/BEFORE/tools/scripts/lib,4,37273,0.04
tools/scripts/lib,4,37273,0.04
tools/codex/Z_aggregator/RUN_20260226_180152/FILES/tools/meta,12,36735,0.04
tools/codex/Z_aggregator/RUN_20260226_180339/FILES/tools/meta,12,36735,0.04
artifacts/keystone-pitch-engine,4,36155,0.03
tools/codex/worktrees/Z_aggregator/packages/contracts/src/fixtures,8,35442,0.03
